DATE,DEXJPUS
2010-02-08,89.3200
2010-02-09,89.4500
2010-02-10,89.8800
2010-02-11,89.8200
2010-02-12,90.0000
2010-02-15,.
2010-02-16,90.4600
2010-02-17,90.7900
2010-02-18,91.4300
2010-02-19,91.9400
2010-02-22,91.1100
2010-02-23,90.0400
2010-02-24,90.0600
2010-02-25,88.8500
2010-02-26,88.8400
2010-03-01,89.2800
2010-03-02,88.9500
2010-03-03,88.4300
2010-03-04,89.0200
2010-03-05,90.3200
2010-03-08,90.3000
2010-03-09,89.8900
2010-03-10,90.6200
2010-03-11,90.6000
2010-03-12,90.4600
2010-03-15,90.4500
2010-03-16,90.4300
2010-03-17,90.4200
2010-03-18,90.4600
2010-03-19,90.5000
2010-03-22,90.0200
2010-03-23,90.2400
2010-03-24,91.8900
2010-03-25,92.6900
2010-03-26,92.5600
2010-03-29,92.6500
2010-03-30,92.8900
2010-03-31,93.4000
2010-04-01,93.8300
2010-04-02,94.5100
2010-04-05,94.2800
2010-04-06,93.8100
2010-04-07,93.5900
2010-04-08,93.1600
2010-04-09,93.2800
2010-04-12,93.2100
2010-04-13,92.7800
2010-04-14,93.0100
2010-04-15,93.0400
2010-04-16,92.0300
2010-04-19,92.1800
2010-04-20,93.2800
2010-04-21,93.2400
2010-04-22,93.0100
2010-04-23,94.1800
2010-04-26,94.0600
2010-04-27,93.0100
2010-04-28,94.0700
2010-04-29,94.1600
2010-04-30,94.2400
2010-05-03,94.6800
2010-05-04,94.5800
2010-05-05,94.3000
2010-05-06,92.2200
2010-05-07,91.6700
2010-05-10,93.3900
2010-05-11,92.8300
2010-05-12,92.9300
2010-05-13,92.7000
2010-05-14,91.9400
2010-05-17,92.0800
2010-05-18,92.5200
2010-05-19,91.1600
2010-05-20,90.0700
2010-05-21,90.2100
2010-05-24,90.4900
2010-05-25,89.8900
2010-05-26,90.2800
2010-05-27,90.7100
2010-05-28,90.8100
2010-05-31,.
2010-06-01,91.1600
2010-06-02,92.2100
2010-06-03,92.3300
2010-06-04,91.8300
2010-06-07,92.0000
2010-06-08,91.3000
2010-06-09,91.5400
2010-06-10,91.0400
2010-06-11,91.7200
2010-06-14,91.8000
2010-06-15,91.2500
2010-06-16,91.3900
2010-06-17,90.9200
2010-06-18,90.7900
2010-06-21,91.1800
2010-06-22,90.5900
2010-06-23,89.8200
2010-06-24,89.4000
2010-06-25,89.3500
2010-06-28,89.2300
2010-06-29,88.3900
2010-06-30,88.4900
2010-07-01,87.4200
2010-07-02,87.6900
2010-07-05,.
2010-07-06,87.5500
2010-07-07,87.1600
2010-07-08,88.4400
2010-07-09,88.4800
2010-07-12,88.5300
2010-07-13,88.2400
2010-07-14,88.5900
2010-07-15,87.4100
2010-07-16,86.4000
2010-07-19,86.7700
2010-07-20,87.2200
2010-07-21,87.3000
2010-07-22,87.0000
2010-07-23,87.3100
2010-07-26,87.2000
2010-07-27,87.8800
2010-07-28,87.6200
2010-07-29,86.8700
2010-07-30,86.4300
2010-08-02,86.4200
2010-08-03,85.8800
2010-08-04,86.2600
2010-08-05,85.8300
2010-08-06,85.2500
2010-08-09,85.8800
2010-08-10,85.8800
2010-08-11,85.3600
2010-08-12,85.8300
2010-08-13,86.2000
2010-08-16,85.3300
2010-08-17,85.5100
2010-08-18,85.3100
2010-08-19,85.2700
2010-08-20,85.6300
2010-08-23,85.1600
2010-08-24,84.1600
2010-08-25,84.5600
2010-08-26,84.6100
2010-08-27,85.1000
2010-08-30,84.6700
2010-08-31,84.1000
2010-09-01,84.4800
2010-09-02,84.1500
2010-09-03,84.4500
2010-09-06,.
2010-09-07,83.7500
2010-09-08,83.8500
2010-09-09,83.8300
2010-09-10,84.1300
2010-09-13,83.5300
2010-09-14,83.0500
2010-09-15,85.6300
2010-09-16,85.7200
2010-09-17,85.7700
2010-09-20,85.7400
2010-09-21,85.3600
2010-09-22,84.3700
2010-09-23,84.3200
2010-09-24,84.2400
2010-09-27,84.1700
2010-09-28,83.8200
2010-09-29,83.6100
2010-09-30,83.5300
2010-10-01,83.3000
2010-10-04,83.3300
2010-10-05,83.1700
2010-10-06,82.8000
2010-10-07,82.3500
2010-10-08,81.8600
2010-10-11,.
2010-10-12,81.7400
2010-10-13,81.8100
2010-10-14,81.4400
2010-10-15,81.3200
2010-10-18,81.1600
2010-10-19,81.6000
2010-10-20,81.1400
2010-10-21,81.1600
2010-10-22,81.4800
2010-10-25,80.6100
2010-10-26,81.2800
2010-10-27,81.5500
2010-10-28,80.9900
2010-10-29,80.4800
2010-11-01,80.6600
2010-11-02,80.8000
2010-11-03,81.4100
2010-11-04,80.6100
2010-11-05,81.3500
2010-11-08,81.1400
2010-11-09,81.1500
2010-11-10,82.5300
2010-11-11,.
2010-11-12,82.4400
2010-11-15,82.9000
2010-11-16,83.4100
2010-11-17,83.1500
2010-11-18,83.6400
2010-11-19,83.4900
2010-11-22,83.4600
2010-11-23,82.8600
2010-11-24,83.3800
2010-11-25,.
2010-11-26,84.0800
2010-11-29,84.3400
2010-11-30,83.5600
2010-12-01,84.0000
2010-12-02,83.5300
2010-12-03,82.7300
2010-12-06,82.7000
2010-12-07,83.0400
2010-12-08,84.1600
2010-12-09,83.8500
2010-12-10,83.8700
2010-12-13,83.5700
2010-12-14,83.5200
2010-12-15,84.0400
2010-12-16,84.2300
2010-12-17,84.1500
2010-12-20,83.7200
2010-12-21,83.7600
2010-12-22,83.5600
2010-12-23,82.9700
2010-12-24,.
2010-12-27,82.9100
2010-12-28,82.2100
2010-12-29,81.9000
2010-12-30,81.6700
2010-12-31,.
2011-01-03,81.5600
2011-01-04,81.9600
2011-01-05,83.2200
2011-01-06,83.1500
2011-01-07,83.0400
2011-01-10,82.7800
2011-01-11,83.3600
2011-01-12,83.2900
2011-01-13,82.7200
2011-01-14,82.9900
2011-01-17,.
2011-01-18,82.6600
2011-01-19,82.0300
2011-01-20,83.0200
2011-01-21,82.6300
2011-01-24,82.4400
2011-01-25,82.3500
2011-01-26,82.2700
2011-01-27,83.0300
2011-01-28,82.0300
2011-01-31,81.9700
2011-02-01,81.4800
2011-02-02,81.8200
2011-02-03,81.4800
2011-02-04,81.9900
2011-02-07,82.4000
2011-02-08,81.9200
2011-02-09,82.4700
2011-02-10,83.1100
2011-02-11,83.5200
